sample_ID,treatment,replicate,plate,well,nFeature_RNA,nCount_RNA
IL17B_group3_plate3_E06,IL17B,group3,plate3,E06,10664,506842
GDF7_group3_plate3_F05,GDF7,group3,plate3,F05,11571,811861
CCL22_group2_plate4_B01,CCL22,group2,plate4,B01,12423,1357363
linker_group3_plate4_A09,linker,group3,plate4,A09,12988,1735222
IL6recomb_group1_plate4_C02,IL6recomb,group1,plate4,C02,11730,1054100
IL6recomb_group2_plate4_C08,IL6recomb,group2,plate4,C08,11634,847641
TNFSF13B_group1_plate4_A03,TNFSF13B,group1,plate4,A03,12465,1330086
IFNGrecomb_group1_plate4_C05,IFNGrecomb,group1,plate4,C05,11349,889090
linker_group3_plate4_A12,linker,group3,plate4,A12,13397,1991583
CCL24_group2_plate4_B02,CCL24,group2,plate4,B02,12202,1071808
IL12recomb_group2_plate4_C09,IL12recomb,group2,plate4,C09,12036,1188117
IL2recomb_group1_plate4_C06,IL2recomb,group1,plate4,C06,11717,1212267
IL4recomb_group3_plate4_D01,IL4recomb,group3,plate4,D01,12718,1843308
CCL26_group2_plate4_B03,CCL26,group2,plate4,B03,12169,1150153
IL4recomb_group2_plate4_C07,IL4recomb,group2,plate4,C07,11915,1266901
IL4recomb_group1_plate4_C01,IL4recomb,group1,plate4,C01,12554,1670588
IL2recomb_group2_plate4_C12,IL2recomb,group2,plate4,C12,13544,2771971
TNFSF18_group1_plate4_A05,TNFSF18,group1,plate4,A05,14226,2700583
TNFSF14_group3_plate4_B09,TNFSF14,group3,plate4,B09,11685,822986
none_group1_plate4_C04,none,group1,plate4,C04,10604,557946
none_group2_plate4_C10,none,group2,plate4,C10,12048,1008201
CCL11_group2_plate4_B06,CCL11,group2,plate4,B06,12208,1165885
TNFSF12_group3_plate4_B10,TNFSF12,group3,plate4,B10,12071,1110778
CCL20_group2_plate4_B08,CCL20,group2,plate4,B08,12555,1359629
none_group3_plate4_D04,none,group3,plate4,D04,10756,667673
IL6recomb_group3_plate4_D02,IL6recomb,group3,plate4,D02,11461,890787
TNFSF14_group1_plate4_A04,TNFSF14,group1,plate4,A04,12530,1274638
TNFSF18_group3_plate4_B11,TNFSF18,group3,plate4,B11,13350,2067247
linker_group1_plate4_A07,linker,group1,plate4,A07,12263,1176662
TNFSF13_group3_plate4_B12,TNFSF13,group3,plate4,B12,12995,1576228
IL2recomb_group3_plate4_D06,IL2recomb,group3,plate4,D06,12691,1876659
CCL17_group2_plate4_B07,CCL17,group2,plate4,B07,12652,1388101
TNFSF13_group1_plate4_A02,TNFSF13,group1,plate4,A02,12908,1465137
CCL9_group2_plate4_B05,CCL9,group2,plate4,B05,12022,1071734
linker_group3_plate4_A11,linker,group3,plate4,A11,13706,2282230
CCL1_group2_plate4_B04,CCL1,group2,plate4,B04,12294,1276904
IFNGrecomb_group2_plate4_C11,IFNGrecomb,group2,plate4,C11,12070,1200362
TNFSF12_group1_plate4_A01,TNFSF12,group1,plate4,A01,13266,1935939
IFNGrecomb_group3_plate4_D05,IFNGrecomb,group3,plate4,D05,11217,847791
IL12recomb_group3_plate4_D03,IL12recomb,group3,plate4,D03,11322,822548
TNFSF13B_group3_plate4_A10,TNFSF13B,group3,plate4,A10,12910,1623774
linker_group1_plate4_A06,linker,group1,plate4,A06,12244,1163914
IL12recomb_group1_plate4_C03,IL12recomb,group1,plate4,C03,11487,889717
linker_group1_plate4_A08,linker,group1,plate4,A08,13370,1890521
